2024-10-12T12:11:49-04:00
Running ./build/run_benchmark
Run on (8 X 3591.96 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.08, 0.07, 0.10
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_lvl2/11_cv                0.89 %          0.89 %          1000 items_per_second=0.90%
BM_gao_additive_fft_lvl2/12_mean              1387 us         1387 us         1000 items_per_second=721.077/s
BM_gao_additive_fft_lvl2/12_median            1381 us         1381 us         1000 items_per_second=723.876/s
BM_gao_additive_fft_lvl2/12_stddev            13.4 us         13.4 us         1000 items_per_second=6.97621/s
BM_gao_additive_fft_lvl2/12_cv                0.97 %          0.97 %          1000 items_per_second=0.97%
BM_gao_additive_fft_lvl2/13_mean              3071 us         3071 us         1000 items_per_second=325.648/s
BM_gao_additive_fft_lvl2/13_median            3057 us         3057 us         1000 items_per_second=327.145/s
BM_gao_additive_fft_lvl2/13_stddev            29.4 us         29.4 us         1000 items_per_second=3.09614/s
BM_gao_additive_fft_lvl2/13_cv                0.96 %          0.96 %          1000 items_per_second=0.95%
BM_gao_additive_fft_lvl2/14_mean              6788 us         6788 us         1000 items_per_second=147.332/s
BM_gao_additive_fft_lvl2/14_median            6740 us         6740 us         1000 items_per_second=148.372/s
BM_gao_additive_fft_lvl2/14_stddev            77.6 us         77.6 us         1000 items_per_second=1.66931/s
BM_gao_additive_fft_lvl2/14_cv                1.14 %          1.14 %          1000 items_per_second=1.13%
BM_gao_additive_fft_lvl2/15_mean             14939 us        14938 us         1000 items_per_second=66.9464/s
BM_gao_additive_fft_lvl2/15_median           14998 us        14998 us         1000 items_per_second=66.6762/s
BM_gao_additive_fft_lvl2/15_stddev             127 us          127 us         1000 items_per_second=0.578794/s
BM_gao_additive_fft_lvl2/15_cv                0.85 %          0.85 %          1000 items_per_second=0.86%
BM_gao_additive_fft_lvl2/16_mean             32427 us        32426 us         1000 items_per_second=30.8423/s
BM_gao_additive_fft_lvl2/16_median           32526 us        32524 us         1000 items_per_second=30.7463/s
BM_gao_additive_fft_lvl2/16_stddev             293 us          293 us         1000 items_per_second=0.282196/s
BM_gao_additive_fft_lvl2/16_cv                0.90 %          0.90 %          1000 items_per_second=0.91%
BM_gao_additive_fft_lvl2/17_mean             70241 us        70238 us         1000 items_per_second=14.239/s
BM_gao_additive_fft_lvl2/17_median           70739 us        70736 us         1000 items_per_second=14.137/s
BM_gao_additive_fft_lvl2/17_stddev             753 us          752 us         1000 items_per_second=0.15287/s
BM_gao_additive_fft_lvl2/17_cv                1.07 %          1.07 %          1000 items_per_second=1.07%
BM_gao_additive_fft_lvl2/18_mean            167823 us       167815 us         1000 items_per_second=5.95942/s
BM_gao_additive_fft_lvl2/18_median          167799 us       167794 us         1000 items_per_second=5.9597/s
BM_gao_additive_fft_lvl2/18_stddev            1517 us         1517 us         1000 items_per_second=0.0538249/s
BM_gao_additive_fft_lvl2/18_cv                0.90 %          0.90 %          1000 items_per_second=0.90%
BM_gao_additive_fft_lvl2/19_mean            445059 us       445038 us         1000 items_per_second=2.24737/s
BM_gao_additive_fft_lvl2/19_median          443256 us       443235 us         1000 items_per_second=2.25614/s
BM_gao_additive_fft_lvl2/19_stddev            5765 us         5765 us         1000 items_per_second=0.0288364/s
BM_gao_additive_fft_lvl2/19_cv                1.30 %          1.30 %          1000 items_per_second=1.28%
BM_gao_additive_fft_lvl2/20_mean           1062865 us      1062804 us         1000 items_per_second=0.940913/s
BM_gao_additive_fft_lvl2/20_median         1063438 us      1063380 us         1000 items_per_second=0.940398/s
BM_gao_additive_fft_lvl2/20_stddev            2734 us         2731 us         1000 items_per_second=2.41319m/s
BM_gao_additive_fft_lvl2/20_cv                0.26 %          0.26 %          1000 items_per_second=0.26%
BM_gao_additive_fft_lvl2/21_mean           2281141 us      2281027 us         1000 items_per_second=0.438405/s
BM_gao_additive_fft_lvl2/21_median         2279730 us      2279614 us         1000 items_per_second=0.438671/s
BM_gao_additive_fft_lvl2/21_stddev            8795 us         8796 us         1000 items_per_second=1.68888m/s
BM_gao_additive_fft_lvl2/21_cv                0.39 %          0.39 %          1000 items_per_second=0.39%
BM_gao_additive_fft_lvl2/22_mean           4888212 us      4887961 us         1000 items_per_second=0.204586/s
BM_gao_additive_fft_lvl2/22_median         4888004 us      4887742 us         1000 items_per_second=0.204593/s
BM_gao_additive_fft_lvl2/22_stddev           12197 us        12185 us         1000 items_per_second=506.863u/s
BM_gao_additive_fft_lvl2/22_cv                0.25 %          0.25 %          1000 items_per_second=0.25%
BM_gao_additive_fft_lvl2/23_mean          10618448 us     10617957 us         1000 items_per_second=0.0941861/s
BM_gao_additive_fft_lvl2/23_median        10580562 us     10580003 us         1000 items_per_second=0.0945179/s
BM_gao_additive_fft_lvl2/23_stddev           85238 us        85233 us         1000 items_per_second=745.974u/s
BM_gao_additive_fft_lvl2/23_cv                0.80 %          0.80 %          1000 items_per_second=0.79%
BM_gao_additive_fft_co/2_mean                0.271 us        0.271 us         1000 items_per_second=3.68576M/s
BM_gao_additive_fft_co/2_median              0.271 us        0.271 us         1000 items_per_second=3.68607M/s
BM_gao_additive_fft_co/2_stddev              0.000 us        0.000 us         1000 items_per_second=2.61485k/s
BM_gao_additive_fft_co/2_cv                   0.07 %          0.07 %          1000 items_per_second=0.07%
BM_gao_additive_fft_co/3_mean                0.517 us        0.517 us         1000 items_per_second=1.93339M/s
BM_gao_additive_fft_co/3_median              0.517 us        0.517 us         1000 items_per_second=1.93357M/s
BM_gao_additive_fft_co/3_stddev              0.000 us        0.000 us         1000 items_per_second=980.674/s
BM_gao_additive_fft_co/3_cv                   0.05 %          0.05 %          1000 items_per_second=0.05%
BM_gao_additive_fft_co/4_mean                 1.09 us         1.09 us         1000 items_per_second=916.095k/s
BM_gao_additive_fft_co/4_median               1.09 us         1.09 us         1000 items_per_second=915.151k/s
BM_gao_additive_fft_co/4_stddev              0.002 us        0.002 us         1000 items_per_second=1.74783k/s
BM_gao_additive_fft_co/4_cv                   0.19 %          0.19 %          1000 items_per_second=0.19%
BM_gao_additive_fft_co/5_mean                 2.24 us         2.24 us         1000 items_per_second=447.412k/s
BM_gao_additive_fft_co/5_median               2.23 us         2.23 us         1000 items_per_second=447.446k/s
BM_gao_additive_fft_co/5_stddev              0.001 us        0.001 us         1000 items_per_second=249.284/s
BM_gao_additive_fft_co/5_cv                   0.06 %          0.06 %          1000 items_per_second=0.06%
BM_gao_additive_fft_co/6_mean                 5.18 us         5.18 us         1000 items_per_second=193.119k/s
BM_gao_additive_fft_co/6_median               5.18 us         5.18 us         1000 items_per_second=193.156k/s
BM_gao_additive_fft_co/6_stddev              0.127 us        0.127 us         1000 items_per_second=4.55643k/s
BM_gao_additive_fft_co/6_cv                   2.45 %          2.45 %          1000 items_per_second=2.36%
BM_gao_additive_fft_co/7_mean                 11.7 us         11.7 us         1000 items_per_second=85.3383k/s
BM_gao_additive_fft_co/7_median               11.6 us         11.6 us         1000 items_per_second=85.9278k/s
BM_gao_additive_fft_co/7_stddev              0.295 us        0.295 us         1000 items_per_second=2.07031k/s
BM_gao_additive_fft_co/7_cv                   2.51 %          2.51 %          1000 items_per_second=2.43%
BM_gao_additive_fft_co/8_mean                 27.2 us         27.2 us         1000 items_per_second=36.7463k/s
BM_gao_additive_fft_co/8_median               27.5 us         27.5 us         1000 items_per_second=36.3742k/s
BM_gao_additive_fft_co/8_stddev              0.428 us        0.428 us         1000 items_per_second=584.901/s
BM_gao_additive_fft_co/8_cv                   1.57 %          1.57 %          1000 items_per_second=1.59%
BM_gao_additive_fft_co/9_mean                 59.4 us         59.4 us         1000 items_per_second=16.8222k/s
BM_gao_additive_fft_co/9_median               59.4 us         59.4 us         1000 items_per_second=16.8278k/s
BM_gao_additive_fft_co/9_stddev              0.264 us        0.264 us         1000 items_per_second=74.69/s
BM_gao_additive_fft_co/9_cv                   0.44 %          0.44 %          1000 items_per_second=0.44%
BM_gao_additive_fft_co/10_mean                 134 us          134 us         1000 items_per_second=7.48709k/s
BM_gao_additive_fft_co/10_median               134 us          134 us         1000 items_per_second=7.47913k/s
BM_gao_additive_fft_co/10_stddev             0.537 us        0.537 us         1000 items_per_second=29.9793/s
BM_gao_additive_fft_co/10_cv                  0.40 %          0.40 %          1000 items_per_second=0.40%
BM_gao_additive_fft_co/11_mean                 309 us          309 us         1000 items_per_second=3.23736k/s
BM_gao_additive_fft_co/11_median               308 us          308 us         1000 items_per_second=3.24624k/s
BM_gao_additive_fft_co/11_stddev              1.78 us         1.78 us         1000 items_per_second=18.5801/s
BM_gao_additive_fft_co/11_cv                  0.58 %          0.58 %          1000 items_per_second=0.57%
BM_gao_additive_fft_co/12_mean                 687 us          687 us         1000 items_per_second=1.45758k/s
BM_gao_additive_fft_co/12_median               695 us          695 us         1000 items_per_second=1.43919k/s
BM_gao_additive_fft_co/12_stddev              22.4 us         22.4 us         1000 items_per_second=46.8086/s
BM_gao_additive_fft_co/12_cv                  3.26 %          3.26 %          1000 items_per_second=3.21%
BM_gao_additive_fft_co/13_mean                1570 us         1570 us         1000 items_per_second=637.085/s
BM_gao_additive_fft_co/13_median              1571 us         1571 us         1000 items_per_second=636.687/s
BM_gao_additive_fft_co/13_stddev              10.2 us         10.2 us         1000 items_per_second=4.02311/s
BM_gao_additive_fft_co/13_cv                  0.65 %          0.65 %          1000 items_per_second=0.63%
BM_gao_additive_fft_co/14_mean                3650 us         3650 us         1000 items_per_second=274.034/s
BM_gao_additive_fft_co/14_median              3604 us         3604 us         1000 items_per_second=277.444/s
BM_gao_additive_fft_co/14_stddev              56.9 us         56.9 us         1000 items_per_second=4.26868/s
BM_gao_additive_fft_co/14_cv                  1.56 %          1.56 %          1000 items_per_second=1.56%
BM_gao_additive_fft_co/15_mean                8055 us         8055 us         1000 items_per_second=124.154/s
BM_gao_additive_fft_co/15_median              8015 us         8015 us         1000 items_per_second=124.769/s
BM_gao_additive_fft_co/15_stddev              58.6 us         58.6 us         1000 items_per_second=0.903748/s
BM_gao_additive_fft_co/15_cv                  0.73 %          0.73 %          1000 items_per_second=0.73%
BM_gao_additive_fft_co/16_mean               17704 us        17704 us         1000 items_per_second=56.4872/s
BM_gao_additive_fft_co/16_median             17663 us        17662 us         1000 items_per_second=56.6183/s
BM_gao_additive_fft_co/16_stddev               121 us          120 us         1000 items_per_second=0.384428/s
BM_gao_additive_fft_co/16_cv                  0.68 %          0.68 %          1000 items_per_second=0.68%
BM_gao_additive_fft_co/17_mean               39283 us        39281 us         1000 items_per_second=25.4581/s
BM_gao_additive_fft_co/17_median             39387 us        39386 us         1000 items_per_second=25.3899/s
BM_gao_additive_fft_co/17_stddev               188 us          188 us         1000 items_per_second=0.12231/s
BM_gao_additive_fft_co/17_cv                  0.48 %          0.48 %          1000 items_per_second=0.48%
BM_gao_additive_fft_co/18_mean              100717 us       100713 us         1000 items_per_second=9.92952/s
BM_gao_additive_fft_co/18_median            100639 us       100634 us         1000 items_per_second=9.93704/s
BM_gao_additive_fft_co/18_stddev               529 us          528 us         1000 items_per_second=0.0519186/s
BM_gao_additive_fft_co/18_cv                  0.53 %          0.52 %          1000 items_per_second=0.52%
